Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
791,QM,PYP100,PHYSICS LABORATORY,2,0-0-4,KEDAR BHALCHANDRA KHARE,217,2
,,,,,,,,
792,QP,CMP100,CHEMISTRY LABORATORY,2,0-0-4,PRAVIN POPINAND INGOLE,232,4
793,QP,PYP100,PHYSICS LABORATORY,2,0-0-4,A.K. SHUKLA,218,8
,,,,,,,,
794,R,CVP810,ROCK MECHANICS LABORATORY-II,3,0-0-6,K.S. RAO,60,20
795,R,ELP718,TELECOMMUNICATION SOFTWARE LAB,3,0-1-4,SUBRAT KAR,60,7
796,R,SML701,STRATEGIC TECHNOLOGY MANAGEMENT,3,2-0-2,MANOJ KUMAR SHARMA,91,35
797,R,SML861,MARKET RESEARCH,3,2-0-2,HARISH CHAUDHRY,65,65
,,,,,,,,
798,R1,MSL729,Individual Behavior in Organizations,3,3-0-0,KANIKA TANDON BHAL,91,36
,,,,,,,,
799,R2,MSL780,MANAGERIAL ECONOMICS,1.5,1-0-0,AMLENDU KUMAR DUBEY,91,49
,,,,,,,,
800,S,CVS756,INDEPENDENT STUDY (CES),3,0-0-6,ABHIJIT GANGULI,30,0
801,S,MSL713,INFORMATION SYSTEMS MANAGEMENT,3,2-0-2,ARPAN KUMAR KAR,91,41
802,S,SML823,STRATEGIC CHANGE AND FLEXIBILITY,3,2-0-2,SUSHIL,65,16
803,S,SML840,MANUFACTURING STRATEGY,3,3-0-0,DR.JITENDRA MADAAN,65,49
804,S,SML860,SOCIAL MEDIA & BUSINESS PRAXIS,3,3-0-0,P. VIGNESWARA ILAVARASAN,65,26
805,S,SML875,INTERNATIONAL FINANCIAL MANAGEMENT,3,3-0-0,SURENDRA SINGH YADAV,65,17
,,,,,,,,
806,SS,CVS756,INDEPENDENT STUDY (CES),3,0-0-6,ABHIJIT GANGULI,30,0
,,,,,,,,
807,T,CVT200,SUMMER INTERNSHIP,2,0-0-4,ATUL KUMAR MITTAL,150,33
808,T,CVT300,SUMMER INTERNSHIP - II,2,0-0-4,ATUL KUMAR MITTAL,150,0
809,T,CVT400,SEMESTER INTERNSHIP,5,0-0-10,ATUL KUMAR MITTAL,150,0
810,T,MSL708,FINANCIAL MANAGEMENT,3,3-0-0,SHVETA SINGH,115,111
811,T,SML828,GLOBAL STRATEGIC MANAGEMENT,3,3-0-0,MANOJ KUMAR SHARMA,65,11
812,T,SML855,ELECTRONIC COMMERCE,3,2-0-2,MANMOHAN PRASAD GUPTA,65,26
813,T,SML869,CURRENT AND EMERGING ISSUES IN MARKETING,3,3-0-0,HARISH CHAUDHRY,65,61
,,,,,,,,
814,U,MSL706,BUSINESS LAWS,3,2-0-2,VANDANA CHAK,91,50
815,U,SML703,MANAGEMENT OF TECHNOLOGY TRANSFER,3,2-0-2,SANJAY DHIR,91,27
816,U,SMV896,HUMAN VALUES IN MANAGEMENT,1,1-0-0,SHUCHI SINHA,91,46
,,,,,,,,
817,X,COL863,SPL. TOPICS IN THEO. COMP. SC.,3,3-0-0,AMITABHA BAGCHI,30,15
818,X,COL865,SPECIAL TOPICS IN COMPUTER AP.,3,3-0-0,S.N. MAHESHWARI,30,1
819,X,COL866,SPECIAL TOPICS IN ALGORITHMS,3,3-0-0,NAVEEN GARG,30,46
820,X,COV887,SPL. MODULE IN HIGH SPEED NET.,1,1-0-0,HUZUR SARAN,30,17
821,X,HUC722,SEMINAR,3,0-0-6,ANGELIE MULTANI,140,56
822,X,HUL242,FUNDAMENTALS OF LANGUAGE SCIENCES,4,4-0-0,PAROMA SANYAL,78,258
823,X,HUL310,SELECTED TOPICS IN POLICY STUD,3,3-0-0,RICHA KUMAR,34,109
824,X,HUL701,SOCIOLOGICAL THEORY,3,02-01-00,SARBESWAR SAHOO,30,17
825,X,HUL707,SOCIAL PSYCHOLOGY,3,02-01-00,PURNIMA SINGH,30,37
826,X,HUL731,PERSPECTIVES ON DEVELPMENT,3,0-0-0,RICHA KUMAR,30,24
827,X,HUL736,PLANNING AND ECONOMIC DEVELOPMENT,3,3-0-0,V. UPADHYAY,30,55
828,X,HUL754,SCIENCE TECHNOLOGY AND SOCIETY,3,02-01-00,NAVEEN THAYYIL KAMALUDDIN,30,14
829,X,HUL756,TIME SERIES ECONOMETRICS AND F,3,3-0-0,SOURABH BIKAS PAUL,30,10
830,X,HUL810,COMMUNICATION SKILLS,3,3-0-0,SAMAR HUSAIN,0,75
831,X,HUL811,TRANSFORMATIONAL THEORIES,3,3-0-0,PRITHA CHANDRA,30,0
832,X,HUL840,PHILOSOPHY OF SOCIAL SCIENCES,3,3-0-0,BIJOY H.BORUAH,30,14
833,X,HUL841,PHILOSOPHY OF SCIENCE,3,3-0-0,ARUDRA VENKATA BURRA,30,11
834,X,HUL881,ELEMENTS OF THE NARRATIVE ART,3,3-0-0,DIVYA DWIVEDI,30,9
835,X,HUL884,INDIAN WRITING IN ENGLISH,3,3-0-0,ANGELIE MULTANI,30,11
836,X,MCD882,MAJOR PROJECT PART-2,12,0-0-24,SUNIL JHA,0,0
837,X,MED832,MAJOR PROJECT PART-II,12,0-0-24,ASHISH KAMALAKAR DARPE,0,1
838,X,RDQ301,SEMINAR COURSE - I,1,0-0-2,VIRENDRA KUMAR VIJAY,30,52
839,X,RDQ302,SEMINAR COURSE - II,1,0-0-2,S.N.NAIK,30,39
840,X,RDQ303,SEMINAR COURSE - III,1,0-0-2,JATINDRA KUMAR SAHU,30,22
841,X,RDQ304,SEMINAR COURSE-IV,1,0-0-2,SATYAWATI SHARMA,30,14
842,X,SIL801,SPECIAL TOPICS IN MULTIMEDIA SYSTEMS,3,3-0-0,AADITESHWAR SETH,40,24
,,,,,,,,
843,X1,ELL880,SPECIAL TOPICS IN COMPUTERS 1,3,3-0-0,SANTANU CHAUDHURY,60,3
844,X1,ELV780,SPECIAL MODULE IN COMPUTERS,1,1-0-0,SANTANU CHAUDHURY,60,11
845,X1,ESL718,"POWER GENERATION ,TRANSMISSION & DISTRIBUTION",3,3-0-0,T.S.BHATTI,20,25
846,X1,ESL776,INDUSTRIAL ENERGY & ENVIRONMENT ANALYSI,3,3-0-0,DR. M.G. DASTIDAR,20,21
847,X1,ESN712,BASIC ELECTRICAL ENGG.,0,1-0-0,T.S.BHATTI,1,3
848,X1,MEL778,DESIGN & METALLURGY OF WELDED JOINTS,4,3-0-2,SUNIL PANDEY,0,34
849,X1,SMV895,MANAGEMENT RESEARCH METHODOLOGY,1,1-0-0,P. VIGNESWARA ILAVARASAN,115,29
,,,,,,,,
850,X2,ESL784,COGENERATION AND ENERGY EFFICIENCY,3,3-0-0,DIBAKAR RAKSHIT,20,22
851,X2,ESL860,ELECTRICAL POWER SYSTEMS ANALYSIS,3,3-0-0,ASHU VERMA,20,4
,,,,,,,,
852,X4,ESL804,POLLUTION CONTROL IN POWER PLANTS,3,3-0-0,D.K. SHARMA,20,12
,,,,,,,,
853,X5,ESL778,INDUSTRIAL WASTE MANAGEMENT & RECYCLING,3,3-0-0,D.K. SHARMA,20,20
