Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
152,C,CVL745,MODELING OF PAVEMENT MATERIALS,3,2-0-2,ARAVIND KRISHNA SWAMY,30,20
153,C,CVL761,THEORY OF STEEL STRUCTURES,3,3-0-0,DIPTI RANJAN SAHOO,60,19
154,C,CVL832,HYDROELECTRIC ENGINEERING,3,3-0-0,RAKESH KHOSA,30,4
155,C,EEL707,MULTIMEDIA SYSTEMS,4,3-0-2,SANTANU CHAUDHURY,60,39
156,C,ELL409,MACHINE INTELLIGENCE& LEARNING,4,3-0-2,SUMANTRA DUTTA ROY,120,87
157,C,ELL730,I.C. TECHNOLOGY,3,3-0-0,M.JAGADESH KUMAR,60,50
158,C,ELL776,ADVANCED POWER SYSTEM OPTIMIZA,3,3-0-0,P.R. BIJWE,60,11
159,C,ELL786,Multimedia Systems,3,3-0-0,SANTANU CHAUDHURY,90,36
160,C,ELL822,SELECTED TOPICS IN COMMUNICATI,3,3-0-0,S.D. JOSHI,60,16
161,C,MCL241,ENERGY SYSTEMS AND TECH.,4,3-0-1,AMIT GUPTA,125,79
162,C,MCL331,Micro and Nano Manufacturing,3,3-0-0,SIVANANDAM ARAVINDAN,0,4
163,C,MCL705,EXPERIMENTAL METHODS,4,3-0-2,SANGEETA KOHLI,0,61
164,C,MCL741,Control Engineering,4,3-0-2,SUBODH VASANT MODAK,0,5
165,C,MSL711,STRATEGIC MANAGEMENT,3,3-0-0,SANJAY DHIR,115,67
166,C,MTL739,REPRESENTATION OF FINITE GROUP,3,3-0-0,RAJENDRA KUMAR SHARMA,30,37
167,C,MTL751,SYMBOLIC DYNAMICS,3,3-0-0,ANIMA NAGAR,30,5
168,C,PYL556,QUANTUM MECHANICS II,3,3-0-0,SANKALPA GHOSH,90,52
169,C,PYL724,Advances in Spintronics,3,3-0-0,PINTU DAS,90,20
170,C,SBL100,INTRO. TO BIOLOGY FOR ENGINEER,4,3-0-2,TAPAN KUMAR CHAUDHURI,550,520
171,C,SBV885,PROTEIN AGGREGATIAONS ANDDISEASES,1,1-0-0,BISHWAJIT KUNDU,100,3
172,C,TXL371,THEORY OF TEXTILE STRUCTURES,4,03-01-00,S.M. ISHTIAQUE,120,80
173,C,TXP212,MANUFACTURED FIBRE TECHNO. LAB,1,0-0-2,BHANU NANDAN,120,83
174,C,TXP761,EVALUATION OF TEXTILE MATERIALS,2,0-0-4,APURBA DAS,75,28
,74,,,,,,3228,2354
175,CM,CML100,INTRODUCTION TO CHEMISTRY,3,3-0-0,SIDDHARTH PANDEY,206,3
,1,,,,,,206,3
176,D,APL713,Turbulence and its Modeling,3,3-0-0,SAWAN SUMAN,90,35
177,D,BBL433,ENZYME SCIENCE AND ENGINEERING,4,3-0-2,RAVI KRISHNAN ELANGOVAN,80,43
178,D,BBL749,CANCER CELL BIOLOGY,4.5,3-0-3,RITU KULSHRESTHA,60,0
179,D,BEL718,COMBINATORIAL BIOTECHNOLOGY,3,3-0-0,PREETI SRIVASTAVA,60,13
180,D,CEL708,EARTH PRESSURES AND RETAINING STRUCTURES,3,3-0-0,BAPPADITYA MANNA,9,9
181,D,CEL818,DESIGN OF PLATES & SHELLS,3,02-01-00,ABHIJIT GANGULI,30,1
182,D,CEL832,DESIGN OF TALL BUILDINGS,3,02-01-00,A.K. NAGPAL,30,15
183,D,CHL275,SAFETY AND HAZARDS IN THE PROCESS INDUSTRIES,4,03-01-00,ANIL KUMAR SAROHA,65,76
184,D,CLL122,CHEMICAL REACTION ENGG I,4,03-01-00,MOHAMMAD ALI HAIDER,171,177
185,D,CLL271,INTRO TO INDUSTRIAL BIOTECH.,3,3-0-0,ANURAG SINGH RATHORE,130,104
186,D,CLL733,INDUSTRIAL MULTIPHASE REACTORS,3,3-0-0,SHANTANU ROY,50,32
187,D,CML521,MOLECULAR THERMODYNAMICS,3,3-0-0,SHASHANK DEEP,60,50
188,D,CML734,CHEMISTRY OF NANOSTRUCTURED M,3,3-0-0,PRAVIN POPINAND INGOLE,60,15
189,D,COL758,ADVANCED ALGORITHMS,4,3-0-2,AMIT KUMAR,40,97
190,D,CRL704,SENSOR ARRAY SIGNAL PROCESSING,3,3-0-0,MONIKA AGGARWAL,18,14
191,D,CVL242,STRUCTURAL ANALYSIS I,3,3-0-0,ASHOK GUPTA,104,106
192,D,CVL342,STEEL DESIGN,3,3-0-0,SUPRATIC GUPTA,150,98
193,D,CVL705,SLOPES AND RETAINING STRUCTURES,3,3-0-0,BAPPADITYA MANNA,60,15
194,D,CVL712,SLOPES AND FOUNDATIONS,3,3-0-0,K.G. SHARMA,60,20
195,D,CVL734,ADVANCED HYDRAULICS,3,3-0-0,DEO RAJ KAUSHAL,30,7
196,D,CVL769,DESIGN OF TALL BUILDINGS,3,3-0-0,A.K. NAGPAL,30,17
197,D,CVL849,TRAFFIC FLOW MODELLING,3,3-0-0,RAMACHANDRA RAO KALAGA,30,9
198,D,CVL858,THEORY OF PLATES AND SHELLS,3,3-0-0,ABHIJIT GANGULI,30,0
199,D,CVL874,QUALITY AND SAFETY IN CONSTRUC,3,3-0-0,J. UMA MAHESWARI,150,18
200,D,CYL676,BIO-ORGANIC & MEDICINAL CHEMISTY,3,3-0-0,NALIN PANT,60,6
201,D,ELL205,SIGNALS AND SYSTEMS,4,03-01-00,SHANKAR PRAKRIYA,150,122
202,D,ELL715,DIGITAL IMAGE PROCESSING,4,3-0-2,BREJESH LALL,60,113
